drug_name,reaction,pair_count,ROR,p_value,max_cusum,alert_quarters,cusum_signal,max_ewma,ewma_signal,confidence_score,confidence_label
zantac,Colorectal cancer,127228,4851.89,0.0,211.67,98.0,True,1009.2,True,3,High — All three methods
zantac,Bladder cancer,105891,1286.7,0.0,118.97,50.0,True,1097.72,True,3,High — All three methods
zantac,Gastrointestinal carcinoma,20384,916.68,0.0,224.09,82.0,True,190.9,True,3,High — All three methods
zantac,Prostate cancer,161930,810.49,0.0,137.53,52.0,True,1168.67,True,3,High — All three methods
zantac,Renal cancer,109371,722.43,0.0,188.2,83.0,True,789.18,True,3,High — All three methods
humira,Device issue,18620,51.33,0.0,19.14,23.0,True,966.2,True,3,High — All three methods
jardiance,Euglycaemic diabetic ketoacidosis,1386,39.34,0.0,62.65,21.0,True,37.02,True,3,High — All three methods
humira,Adverse food reaction,1425,64.91,0.0,8.45,2.0,True,122.2,False,2,Medium — ROR + one method
jardiance,Glucose urine present,176,55.68,0.0,15.11,7.0,True,11.48,False,2,Medium — ROR + one method
humira,Medical device implantation,502,49.76,0.0,5.83,1.0,True,33.2,False,2,Medium — ROR + one method
jardiance,Urine ketone body present,101,43.92,3.56e-221,16.97,8.0,True,4.91,False,2,Medium — ROR + one method
zantac,Hepatic cancer,49288,637.48,0.0,,,False,,False,1,Low — ROR only
zantac,Cervix carcinoma,5811,553.07,0.0,,,False,,False,1,Low — ROR only
zantac,Throat cancer,5348,508.84,0.0,,,False,,False,1,Low — ROR only
zantac,Breast cancer,139967,476.15,0.0,,,False,,False,1,Low — ROR only
zantac,Uterine cancer,14286,408.89,0.0,,,False,,False,1,Low — ROR only
zantac,Oesophageal carcinoma,69934,372.59,0.0,,,False,,False,1,Low — ROR only
zantac,Pancreatic carcinoma,43380,359.4,0.0,,,False,,False,1,Low — ROR only
zantac,Thyroid cancer,18916,313.61,0.0,,,False,,False,1,Low — ROR only
humira,Temperature regulation disorder,2186,258.56,0.0,,,False,,False,1,Low — ROR only
zantac,Prostatic disorder,9397,180.56,0.0,,,False,,False,1,Low — ROR only
zantac,Gastric cancer,55828,168.5,0.0,,,False,,False,1,Low — ROR only
zantac,Ovarian cancer,9905,163.19,0.0,,,False,,False,1,Low — ROR only
zantac,Breast cancer female,12335,143.09,0.0,,,False,,False,1,Low — ROR only
zantac,Bone cancer,4281,140.52,0.0,,,False,,False,1,Low — ROR only
zantac,Lung carcinoma cell type unspecified stage IV,3998,134.4,0.0,,,False,,False,1,Low — ROR only
humira,Injection site papule,2311,120.78,0.0,1.59,0.0,False,151.6,False,1,Low — ROR only
jardiance,Ketoacidosis,1154,120.41,0.0,1.59,0.0,False,43.4,False,1,Low — ROR only
zantac,Non-Hodgkin's lymphoma,2898,99.78,0.0,,,False,,False,1,Low — ROR only
zantac,Gastric cancer stage IV,3963,92.58,0.0,,,False,,False,1,Low — ROR only
zantac,Gastric cancer stage II,1361,79.68,0.0,,,False,,False,1,Low — ROR only
jardiance,Blood immunoglobulin E increased,211,63.86,0.0,,,False,,False,1,Low — ROR only
zantac,Skin cancer,15937,54.28,0.0,,,False,,False,1,Low — ROR only
zantac,Lip and/or oral cavity cancer,681,50.62,0.0,,,False,,False,1,Low — ROR only
zantac,Neoplasm malignant,26547,50.62,0.0,,,False,,False,1,Low — ROR only
zantac,Colon cancer,4709,45.73,0.0,,,False,,False,1,Low — ROR only
humira,Vaccination site pain,635,44.58,0.0,,,False,,False,1,Low — ROR only
jardiance,Diabetic ketoacidosis,2438,37.42,0.0,,,False,,False,1,Low — ROR only
zantac,Leukaemia,2291,33.91,0.0,,,False,,False,1,Low — ROR only
humira,Bone deformity,366,33.79,0.0,,,False,,False,1,Low — ROR only
humira,Catheter placement,125,33.7,2.1e-144,,,False,,False,1,Low — ROR only
humira,Immunisation reaction,802,31.8,0.0,,,False,,False,1,Low — ROR only
humira,Degenerative bone disease,312,31.38,0.0,,,False,,False,1,Low — ROR only
zantac,Gastric cancer stage III,1527,31.13,0.0,,,False,,False,1,Low — ROR only
humira,Cartilage atrophy,491,30.93,0.0,,,False,,False,1,Low — ROR only
zantac,Lymphoma,3447,30.44,0.0,,,False,,False,1,Low — ROR only
zantac,Breast cancer stage II,12154,29.97,0.0,,,False,,False,1,Low — ROR only
humira,Optic nerve injury,114,29.55,1.07e-127,,,False,,False,1,Low — ROR only
humira,Injection site injury,929,29.54,0.0,,,False,,False,1,Low — ROR only
jardiance,Tenosynovitis stenosans,55,29.43,2.56e-105,,,False,,False,1,Low — ROR only
humira,Antibiotic therapy,142,29.0,3.94e-158,,,False,,False,1,Low — ROR only
zantac,Adrenal gland cancer,369,28.99,3.8499999999999994e-189,,,False,,False,1,Low — ROR only
humira,Foetal death,2039,28.46,0.0,,,False,,False,1,Low — ROR only
jardiance,Pyelonephritis acute,51,28.38,2.82e-96,,,False,,False,1,Low — ROR only
humira,Tenoplasty,117,28.16,2.0100000000000002e-129,,,False,,False,1,Low — ROR only
