drug_name,reaction,pair_count,ROR,p_value
humira,Temperature regulation disorder,2186,258.56,0.0
humira,Injection site papule,2311,120.78,0.0
humira,Adverse food reaction,1425,64.91,0.0
humira,Device issue,18620,51.33,0.0
humira,Medical device implantation,502,49.76,0.0
humira,Vaccination site pain,635,44.58,0.0
humira,Bone deformity,366,33.79,0.0
humira,Catheter placement,125,33.7,2.1e-144
humira,Immunisation reaction,802,31.8,0.0
humira,Degenerative bone disease,312,31.38,0.0
humira,Cartilage atrophy,491,30.93,0.0
humira,Optic nerve injury,114,29.55,1.07e-127
humira,Injection site injury,929,29.54,0.0
humira,Antibiotic therapy,142,29.0,3.94e-158
humira,Foetal death,2039,28.46,0.0
humira,Tenoplasty,117,28.16,2.01e-129
humira,Ovarian failure,131,27.59,4.86e-144
humira,Lung perforation,122,25.69,1.4e-131
humira,Abdominal neoplasm,95,25.61,1.62e-102
humira,Wrong technique in product usage process,13718,24.94,0.0
humira,Postoperative thrombosis,150,24.66,1.1e-159
humira,Liquid product physical issue,445,24.58,0.0
humira,Therapy interrupted,9919,24.46,0.0
humira,Injury corneal,101,24.31,2.62e-107
humira,Glycosylated haemoglobin abnormal,104,24.17,2.77e-110
humira,Oophorectomy,94,23.46,7.44e-99
humira,Device use error,729,22.75,0.0
humira,Allergy to vaccine,215,22.29,1.67e-221
humira,Vertebral osteophyte,111,22.0,2.92e-114
humira,Fat tissue increased,130,21.37,2.07e-132
humira,Bone operation,95,20.65,7.41e-96
humira,Haemorrhagic stroke,107,20.6,8.78e-108
humira,Heart valve replacement,127,19.45,3.16e-125
humira,Ammonia increased,94,19.2,1.91e-92
humira,Orthopaedic procedure,71,19.14,6.33e-70
humira,Gastric neoplasm,78,18.77,3.27e-76
humira,Surgical failure,693,18.54,0.0
humira,Contrast media allergy,531,18.17,0.0
humira,Retinal oedema,99,18.03,4.43e-95
humira,Cervical radiculopathy,139,17.68,3.85e-132
humira,Skull fracture,95,17.3,8.09e-90
humira,Impaired self-care,503,17.3,0.0
humira,Rehabilitation therapy,612,17.19,0.0
humira,Injection site indentation,343,17.0,0.0
humira,Allergic oedema,222,17.0,2.83e-207
humira,Injection site haemorrhage,12091,16.39,0.0
humira,Limb asymmetry,80,16.34,5.07e-74
humira,Pelvic floor hernia,82,16.25,1.08e-75
humira,Deafness bilateral,99,15.89,2.39e-90
humira,Small intestinal haemorrhage,98,15.73,4.67e-89
humira,Protein total increased,151,15.66,1.69e-136
humira,Cytogenetic abnormality,58,15.64,6.93e-53
humira,Urinary bladder haemorrhage,60,15.55,1.46e-54
humira,Gastric perforation,143,15.54,6.5e-129
humira,Product colour issue,76,15.52,7.43e-69
humira,Medical procedure,243,15.31,6.38e-217
humira,Injection site infection,109,14.99,6.41e-97
humira,Medical device pain,212,14.88,5.02e-187
humira,Seroma,174,14.84,1.7e-153
humira,Chemotherapy,413,14.65,0.0
humira,Sweat gland infection,65,14.6,1.94e-57
humira,Protein total decreased,161,14.28,1.38e-139
humira,Spinal decompression,82,14.17,2.84e-71
humira,Post procedural pneumonia,67,14.11,2.89e-58
humira,Antiphospholipid syndrome,194,14.06,8.66e-167
